----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed  |  Rel. |    Aki    | Acc. |            Ei           Ek            |              Lower level              |              Upper level              |Type|           TP  |    Line  |
          |      Wavelength |  Int. |    s^-1   |      |           (eV)         (eV)           |---------------------------------------|---------------------------------------|    |          Ref. |    Ref.  |
          |       Air (nm)  |  (?)  |           |      |                                       | Conf.                 | Term    | J   | Conf.                 | Term    | J   |    |               |          |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                 |       |           |      |                                       |                       |         |     |                       |         |     |    |               |          |
Ar I      |     602.5150    |     5 | 9.0e+05   | D+   |    13.30222666    -     15.3594347    | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 2   | 3s2.3p5.(2P*<1/2>).7s | 2[1/2]* | 1   |    |        T1218n |   L2634  |
Ar I      |     603.2127    |    70 | 2.46e+06  | C    |    13.07571492    -     15.13054345   | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3   | 3s2.3p5.(2P*<3/2>).5d | 2[7/2]* | 4   |    | T1218n,T1164n |   L2634  |
Ar I      |     604.3223    |    35 | 1.47e+06  | C    |    13.09487176    -     15.14592738   | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2   | 3s2.3p5.(2P*<3/2>).5d | 2[7/2]* | 3   |    |        T1218n |   L2634  |
Ar I      |     605.2723    |    10 | 1.9e+05   | D+   |    12.90701451    -     14.95485113   | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]* | 2   |    |        T1218n |   L2634  |
Ar I      |     605.9372    |    20 | 4.2e+05   | C    |    12.90701451    -     14.95260383   | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<1/2>).4d | 2[3/2]* | 2   |    | T1218n,T1164n |   L2634  |
          |                 |       |           |      |                                       |                       |         |     |                       |         |     |    |               |          |
Ar II     |     607.7431    |     6 | 4.e+05    | C    |    17.26583247    -     19.30534372   | 3s2.3p4.(3P).4s       | 2P      | 1/2 | 3s2.3p4.(3P).4p       | 4P*     | 1/2 |    |          T926 |  L14821  |
Ar I      |     609.8803    |     7 | 5.2e+05   | D+   |    13.15314307    -     15.18550708   | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 1   | 3s2.3p5.(2P*<3/2>).7s | 2[3/2]* | 1   |    |        T1218n |   L2634  |
Ar II     |     610.35397   |    26 | 1.7e+06   | C    |    17.94175001    -     19.97253701   | 3s2.3p4.(3P).3d       | 2P      | 1/2 | 3s2.3p4.(3P).4p       | 2S*     | 1/2 |    |          T926 |  L11520  |
Ar I      |     610.5635    |    10 | 1.21e+06  | C    |    13.28263821    -     15.31272820   | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 1   | 3s2.3p5.(2P*<1/2>).5d | 2[5/2]* | 2   |    |        T1218n |   L2634  |
Ar II     |     611.49232   |   537 | 2.00e+07  | B+   |    19.11606781    -     21.14307416   | 3s2.3p4.(1D).3d       | 2G      | 9/2 | 3s2.3p4.(1D).4p       | 2F*     | 7/2 |    |        T1386n |  L11520  |
