-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |         Observed  |   Rel. |    Aki    | Acc. |              Ei           Ek              |              Lower level              |              Upper level              |Type|        TP  |   Line  |
          |        Wavelength |   Int. |    s^-1   |      |             (eV)         (eV)             |---------------------------------------|---------------------------------------|    |       Ref. |   Ref.  |
          |         Air (nm)  |   (?)  |           |      |                                           | Conf.                 | Term    | J   | Conf.                 | Term    | J   |    |            |         |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                   |        |           |      |                                           |                       |         |     |                       |         |     |    |            |         |
Ne I      |        602.99968  |  10000 | 5.61e+06  | B    |    16.67082592      -     18.72638031     | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 1   | 2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1   |    | T205n,T172 |  L7292  |
Ne I      |        604.61348  |    500 | 2.26e+05  | B    |    18.61270414      -     20.66277272     | 2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1   | 2s2.2p5.(2P*<1/2>).5s | 2[1/2]* | 1   |    |      T8043 |  L3451  |
Ne I      |        607.43376  |  10000 | 6.03e+07  | C+   |    16.67082592      -     18.71137553     | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 1   | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0   |    | T205n,T172 |  L7292  |
Ne I      |        609.61630  |   3000 | 1.81e+07  | C+   |    16.67082592      -     18.70407004     | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 1   | 2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2   |    | T205n,T172 |  L7292  |
Ne I      |        611.80187  |    150 | 6.09e+05  | B    |    18.63679043      -     20.66277272     | 2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2   | 2s2.2p5.(2P*<1/2>).5s | 2[1/2]* | 1   |    |      T8043 |  L4498  |
          |                   |        |           |      |                                           |                       |         |     |                       |         |     |    |            |         |
Ne I      |        612.84498  |   1000 | 6.7e+05   | B    |    16.67082592      -     18.69335829     | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 1   | 2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1   |    | T205n,T172 |  L3451  |
Ne I      |        614.30627  |  10000 | 2.82e+07  | B    |    16.61906908      -     18.63679043     | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2   | 2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2   |    | T205n,T172 |  L7292  |
Ne I      |        615.02985  |   1000 | 1.5e+06   | D    |    18.69335829      -     20.70870649     | 2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1   | 2s2.2p5.(2P*<3/2>).4d | 2[3/2]* | 1   |    |      T8043 |  L4498  |
Ne I      |        616.35937  |  10000 | 1.46e+07  | B    |    16.71538006      -     18.72638031     | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 0   | 2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1   |    | T205n,T172 |  L7292  |
